location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Raleigh,1/1/2014 0:00,0,0,0,0
Recife,1/1/2014 0:00,0,0,0,0
Richmond,1/1/2014 0:00,0,0,0,0
"Rochester, NY, US",1/1/2014 0:00,0,0,0,0
San Diego,1/1/2014 0:00,0,0,0.02,0
"San Antonio, US",1/1/2014 0:00,0,0,0,0
Savannah,1/1/2014 0:00,0,0,0,0
Louisville,1/1/2014 0:00,0,0,0,0
Seattle,1/1/2014 0:00,0,0,0,0
San Francisco,1/1/2014 0:00,0,0,0.03,0
Salt Lake City,1/1/2014 0:00,0,0,0,0
Salvador,1/1/2014 0:00,0,0,0,0
Sharm el-Sheikh,1/1/2014 0:00,0,0,0,0
St. Louis,1/1/2014 0:00,0,0,0,0
Lamezia Terme,1/1/2014 0:00,0,0,0,0
Strasbourg,1/1/2014 0:00,0,0,0,0
Syracuse,1/1/2014 0:00,0,0,0,0
Tegucigalpa,1/1/2014 0:00,0,0,0,0
Tallahassee,1/1/2014 0:00,0,0,0.01,0
Toulon,1/1/2014 0:00,0,0,0.01,0
Toulouse,1/1/2014 0:00,0,0,0,0
Tel Aviv,1/1/2014 0:00,0,0,0.01,0
Venice,1/1/2014 0:00,0,0,0,0
Tulsa,1/1/2014 0:00,0,0,0,0
Tunis,1/1/2014 0:00,0,0,0.01,0
Knoxville,1/1/2014 0:00,0,0,0,0
Valencia,1/1/2014 0:00,0,0,0,0
Villahermosa,1/1/2014 0:00,0,0,0,0
Springdale,1/1/2014 0:00,0,0,0,0
Ottawa,1/1/2014 0:00,0,0,0,0
Quebec City,1/1/2014 0:00,0,0,0,0
Toronto,1/1/2014 0:00,0,0,0,0
Montreal,1/1/2014 0:00,0,0,0,0
Zakinthos,1/1/2014 0:00,0,0,0,0
Annaba,2/1/2014 0:00,0,0,0,0
Anapa,2/1/2014 0:00,0,0,0,0
Atlantic City,2/1/2014 0:00,0,0,0,0
Malaga,2/1/2014 0:00,0,0,0,0
Alicante,2/1/2014 0:00,0,0,0,0
Algiers,2/1/2014 0:00,0,0,0.04,0
Amsterdam,2/1/2014 0:00,0,0,0,0
Athens,2/1/2014 0:00,0,0,0,0
Austin,2/1/2014 0:00,0,0,0.01,0
Antalya,2/1/2014 0:00,0,0,0,0
Barranquilla,2/1/2014 0:00,0,0,0,0
Barcelona,2/1/2014 0:00,0,0,0,0
Hartford,2/1/2014 0:00,0,0,0,0
Belem,2/1/2014 0:00,0,0,0.01,0
Berlin,2/1/2014 0:00,0,0,0,0
Beirut,2/1/2014 0:00,0,0,0,0
Milan,2/1/2014 0:00,0,0,0,0
"Birmingham, US",2/1/2014 0:00,0,0,0,0
Bastia,2/1/2014 0:00,0,0,0.03,0
Bilbao,2/1/2014 0:00,0,0,0,0
Biarritz,2/1/2014 0:00,0,0,0,0
Bejaia,2/1/2014 0:00,0,0,0,0
Bodrum,2/1/2014 0:00,0,0,0,0
Batna,2/1/2014 0:00,0,0,0,0
Nashville,2/1/2014 0:00,0,0,0,0
Boston,2/1/2014 0:00,0,0,0,0
Bari,2/1/2014 0:00,0,0,0,0
Brussels,2/1/2014 0:00,0,0,0,0
Biskra,2/1/2014 0:00,0,0,0,0
Basel,2/1/2014 0:00,0,0,0,0
Buffalo,2/1/2014 0:00,0,0,0,0
Baltimore,2/1/2014 0:00,0,0,0,0
Belize,2/1/2014 0:00,0,0,0,0
Akron,2/1/2014 0:00,0,0,0,0
Clermont-Ferrand,2/1/2014 0:00,0,0,0,0
Chania,2/1/2014 0:00,0,0,0,0
"Charleston, SC, US",2/1/2014 0:00,0,0,0.03,0
Cleveland,2/1/2014 0:00,0,0,0,0
Charlotte,2/1/2014 0:00,0,0,0,0
Calvi,2/1/2014 0:00,0,0,0.01,0
"Columbus, OH, US",2/1/2014 0:00,0,0,0,0
Catania,2/1/2014 0:00,0,0,0,0
Cumana,2/1/2014 0:00,0,0,0,0
Cincinnati,2/1/2014 0:00,0,0,0,0
Constantine,2/1/2014 0:00,0,0,0,0
Dallas,2/1/2014 0:00,0,0,0.02,0
Dayton,2/1/2014 0:00,0,0,0,0
Washington DC,2/1/2014 0:00,0,0,0,0
Denver,2/1/2014 0:00,0,0,0,0
Djerba,2/1/2014 0:00,0,0,0,0
Moscow,2/1/2014 0:00,0,0,0,0
Des Moines,2/1/2014 0:00,0,0,0,0
Detroit,2/1/2014 0:00,0,0,0,0
Dusseldorf,2/1/2014 0:00,0,0,0,0
Dzaoudzi,2/1/2014 0:00,0,0,0,0
El Paso,2/1/2014 0:00,0,0,0,0
New York,2/1/2014 0:00,0,0,0,0
Rome,2/1/2014 0:00,0,0,0.01,0
Fortaleza,2/1/2014 0:00,0,0,0,0
Frankfurt,2/1/2014 0:00,0,0,0,0
Figari,2/1/2014 0:00,0,0,0.01,0
Guadalajara,2/1/2014 0:00,0,0,0.01,0
Grand Rapids,2/1/2014 0:00,0,0,0,0
Greensboro,2/1/2014 0:00,0,0,0,0
"Greenville, SC, US",2/1/2014 0:00,0,0,0,0
Guatemala City,2/1/2014 0:00,0,0,0.01,0
Geneva,2/1/2014 0:00,0,0,0,0
Guayaquil,2/1/2014 0:00,0,0,0,0
Goiania,2/1/2014 0:00,0,0,0,0
Hamburg,2/1/2014 0:00,0,0,0,0
Heraklion,2/1/2014 0:00,0,0,0,0
Hong Kong,2/1/2014 0:00,0,0,0.05,0
Tokyo,2/1/2014 0:00,0,0,0,0
Huntsville,2/1/2014 0:00,0,0,0,0
Ibiza,2/1/2014 0:00,0,0,0,0
Wichita,2/1/2014 0:00,0,0,0,0
Kiev,2/1/2014 0:00,0,0,0,0
Indianapolis,2/1/2014 0:00,0,0,0,0
Istanbul,2/1/2014 0:00,0,0,0,0
Jackson,2/1/2014 0:00,0,0,0,0
"Jacksonville, FL, US",2/1/2014 0:00,0,0,0.04,0
Mikonos,2/1/2014 0:00,0,0,0,0
Santorini,2/1/2014 0:00,0,0,0,0
Kos,2/1/2014 0:00,0,0,0,0
Krasnodar,2/1/2014 0:00,0,0,0,0
Las Vegas,2/1/2014 0:00,0,0,0,0
Lubbock,2/1/2014 0:00,0,0,0,0
London,2/1/2014 0:00,0,0,0,0
Lourdes,2/1/2014 0:00,0,0,0,0
Lexington,2/1/2014 0:00,0,0,0,0
Lima,2/1/2014 0:00,0,0,0.02,0
Lisbon,2/1/2014 0:00,0,0,0.03,0
Little Rock,2/1/2014 0:00,0,0,0,0
Lyon,2/1/2014 0:00,0,0,0,0
Madrid,2/1/2014 0:00,0,0,0,0
Odessa,2/1/2014 0:00,0,0,0,0
Manaus,2/1/2014 0:00,0,0,0.01,0
Kansas City,2/1/2014 0:00,0,0,0,0
Chicago,2/1/2014 0:00,0,0,0,0
Memphis,2/1/2014 0:00,0,0,0,0
Mexico City,2/1/2014 0:00,0,0,0.02,0
Merida,2/1/2014 0:00,0,0,0,0
Monastir,2/1/2014 0:00,0,0,0,0
Milwaukee,2/1/2014 0:00,0,0,0,0
Monroe,2/1/2014 0:00,0,0,0,0
Montserrat,2/1/2014 0:00,0,0,0,0
Montpellier,2/1/2014 0:00,0,0,0,0
Minneapolis,2/1/2014 0:00,0,0,0,0
Monterrey,2/1/2014 0:00,0,0,0,0
Maturin,2/1/2014 0:00,0,0,0,0
Montevideo,2/1/2014 0:00,0,0,0,0
Myrtle Beach,2/1/2014 0:00,0,0,0.02,0
Naples,2/1/2014 0:00,0,0,0,0
Nice,2/1/2014 0:00,0,0,0.02,0
Oklahoma City,2/1/2014 0:00,0,0,0,0
Omaha,2/1/2014 0:00,0,0,0,0
Norfolk,2/1/2014 0:00,0,0,0,0
Oran,2/1/2014 0:00,0,0,0,0
Paphos,2/1/2014 0:00,0,0,0,0
Perpignan,2/1/2014 0:00,0,0,0,0
Philadelphia,2/1/2014 0:00,0,0,0,0
Pittsburgh,2/1/2014 0:00,0,0,0,0
Palma de Mallorca,2/1/2014 0:00,0,0,0.01,0
Palermo,2/1/2014 0:00,0,0,0,0
Porlamar,2/1/2014 0:00,0,0,0,0
Pensacola,2/1/2014 0:00,0,0,0.03,0
Pau,2/1/2014 0:00,0,0,0,0
Providence,2/1/2014 0:00,0,0,0,0
Setif,2/1/2014 0:00,0,0,0,0
Raleigh,2/1/2014 0:00,0,0,0,0
Richmond,2/1/2014 0:00,0,0,0,0
"Rochester, NY, US",2/1/2014 0:00,0,0,0,0
San Diego,2/1/2014 0:00,0,0,0.02,0
"San Antonio, US",2/1/2014 0:00,0,0,0.02,0
Savannah,2/1/2014 0:00,0,0,0,0
Louisville,2/1/2014 0:00,0,0,0,0
Seattle,2/1/2014 0:00,0,0,0,0
San Francisco,2/1/2014 0:00,0,0,0.03,0
Salt Lake City,2/1/2014 0:00,0,0,0,0
Salvador,2/1/2014 0:00,0,0,0,0
Sharm el-Sheikh,2/1/2014 0:00,0,0,0,0
St. Louis,2/1/2014 0:00,0,0,0,0
Lamezia Terme,2/1/2014 0:00,0,0,0,0
Strasbourg,2/1/2014 0:00,0,0,0,0
Syracuse,2/1/2014 0:00,0,0,0,0
Tegucigalpa,2/1/2014 0:00,0,0,0,0
Tallahassee,2/1/2014 0:00,0,0,0.01,0
Toulon,2/1/2014 0:00,0,0,0.01,0
Toulouse,2/1/2014 0:00,0,0,0,0
Tel Aviv,2/1/2014 0:00,0,0,0.01,0
Venice,2/1/2014 0:00,0,0,0,0
Tulsa,2/1/2014 0:00,0,0,0,0
Tunis,2/1/2014 0:00,0,0,0.02,0
Knoxville,2/1/2014 0:00,0,0,0,0
Quito,2/1/2014 0:00,0,0,0.01,0
Valencia,2/1/2014 0:00,0,0,0,0
Villahermosa,2/1/2014 0:00,0,0,0,0
Springdale,2/1/2014 0:00,0,0,0,0
Ottawa,2/1/2014 0:00,0,0,0,0
Quebec City,2/1/2014 0:00,0,0,0,0
Toronto,2/1/2014 0:00,0,0,0,0
Montreal,2/1/2014 0:00,0,0,0,0
Zakinthos,2/1/2014 0:00,0,0,0,0
Annaba,3/1/2014 0:00,0,0,0.01,0
Anapa,3/1/2014 0:00,0,0,0,0
Atlantic City,3/1/2014 0:00,0,0,0,0
Malaga,3/1/2014 0:00,0,0,0,0
Alicante,3/1/2014 0:00,0,0,0.02,0
Athens,3/1/2014 0:00,0,0,0.02,0
Antalya,3/1/2014 0:00,0,0,0,0
Barranquilla,3/1/2014 0:00,0,0,0.01,0
Barcelona,3/1/2014 0:00,0,0,0,0
Hartford,3/1/2014 0:00,0,0,0,0
Berlin,3/1/2014 0:00,0,0,0,0
Beirut,3/1/2014 0:00,0,0,0,0
Milan,3/1/2014 0:00,0,0,0,0
"Birmingham, US",3/1/2014 0:00,0,0,0.05,0
